path,foundType,descriptiveType,unique,default,description,choices,regex
$.App Settings.Block.BlockList[*],dict,None,None,None,None,None,None
$.App Settings.Block.BlockList[*].Date,str,https://schema.org/DateTime,None,None,Datetime in ?YYYY-MM-DD hh:mm:ss? format  ,None,[0-9]{4}-[0-9]{2}-[0-9]{2} [0-9]{2}:[0-9]{2}:[0-9]{2}
$.App Settings.Block.BlockList[*].UserName,str,https://www.wikidata.org/wiki/Property:P7085,None,None,Tiktok usename without ?@?,None,None
$.App Settings.Settings,dict,None,None,None,None,None,None
$.App Settings.Settings.SettingsMap,dict,None,None,None,None,None,None
$.App Settings.Settings.SettingsMap.Ads Based on Data Received from Partners,str,https://schema.org/Boolean,None,None,None,"Off, On",None
$.App Settings.Settings.SettingsMap.Allow DownLoad,str,https://schema.org/Boolean,None,None,None,Default,None
$.App Settings.Settings.SettingsMap.Allow Others to Find Me,str,https://schema.org/Boolean,None,None,None,"Enabled, Disabled",None
$.App Settings.Settings.SettingsMap.App Language,str,https://schema.org/Language,None,None,None,Fran?ais,None
$.App Settings.Settings.SettingsMap.Content Preferences,dict,None,None,None,None,None,None
$.App Settings.Settings.SettingsMap.Content Preferences.Keyword filters for videos in Following feed,NoneType,None,None,None,no observable data available yet,None,None
$.App Settings.Settings.SettingsMap.Content Preferences.Keyword filters for videos in For You feed,NoneType,None,None,None,no observable data available yet,None,None
$.App Settings.Settings.SettingsMap.Content Preferences.Video Languages Preferences,NoneType,None,None,None,no observable data available yet,None,None
$.App Settings.Settings.SettingsMap.Filter Comments,str,https://schema.org/Boolean,None,None,None,"Enabled, Disabled",None
$.App Settings.Settings.SettingsMap.Interests,str,None,None,None,no observable data available yet,None,None
