path,foundType,descriptiveType,unique,default,description,choices,regex
data/manifest.js:$.dataTypes.account.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.account.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.account.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.account.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountCreationIp,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountCreationIp.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountCreationIp.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountCreationIp.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountCreationIp.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountCreationIp.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountSuspension,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountSuspension.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountSuspension.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountSuspension.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountSuspension.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountSuspension.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountTimezone,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountTimezone.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountTimezone.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountTimezone.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountTimezone.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.accountTimezone.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adEngagements,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adEngagements.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adEngagements.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adEngagements.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adEngagements.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adEngagements.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adImpressions,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adImpressions.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adImpressions.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adImpressions.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adImpressions.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adImpressions.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adMobileConversionsAttributed,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adMobileConversionsAttributed.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adMobileConversionsAttributed.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adMobileConversionsAttributed.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adMobileConversionsAttributed.files[*].globalName,str,None,None,None,None,None,None
